powertrain_type,region,year,veh_cost,fuel_cost,insurance_euro,mr_euro,quartile,km,value,TCO,TCO_percent
CNG,western europe,2031,4712.9994526203645,5.567295512072469,1435.85,1723.02,Q4,40000,10,0.2524696914362338,0.025246969143623385
HEV,western europe,2031,4618.720429915803,8.201819281178198,1644.0889497909939,1345.1636861926315,Q1,2500,35,3.125207419171553,1.0938225967100437
HEV,western europe,2031,4618.720429915803,8.201819281178198,1644.0889497909939,1345.1636861926315,Q2,10000,35,0.8428154994017248,0.2949854247906037
HEV,western europe,2031,4618.720429915803,8.201819281178198,1644.0889497909939,1345.1636861926315,Q3,20000,20,0.4624168461067534,0.09248336922135067
HEV,western europe,2031,4618.720429915803,8.201819281178198,1644.0889497909939,1345.1636861926315,Q4,40000,10,0.2722175194592677,0.02722175194592677
PHEV,western europe,2031,5372.359445630651,4.81097136860239,1738.505271967252,1216.9536903770763,Q1,2500,35,3.3792370768760156,1.1827329769066055
PHEV,western europe,2031,5372.359445630651,4.81097136860239,1738.505271967252,1216.9536903770763,Q2,10000,35,0.8808915544835219,0.3083120440692327
PHEV,western europe,2031,5372.359445630651,4.81097136860239,1738.505271967252,1216.9536903770763,Q3,20000,20,0.4645006340847729,0.09290012681695459
PHEV,western europe,2031,5372.359445630651,4.81097136860239,1738.505271967252,1216.9536903770763,Q4,40000,10,0.25630517388539836,0.025630517388539834
BEV,western europe,2031,4869.565445596778,2.742737444988204,1852.2237447748585,1111.3342468649148,Q1,2500,35,3.1606767493445025,1.1062368622705758
BEV,western europe,2031,4869.565445596778,2.742737444988204,1852.2237447748585,1111.3342468649148,Q2,10000,35,0.8107397181735372,0.283758901360738
BEV,western europe,2031,4869.565445596778,2.742737444988204,1852.2237447748585,1111.3342468649148,Q3,20000,20,0.4190835463117096,0.08381670926234192
BEV,western europe,2031,4869.565445596778,2.742737444988204,1852.2237447748585,1111.3342468649148,Q4,40000,10,0.2232554603807958,0.02232554603807958
FCEV,western europe,2031,4964.257577869574,6.731733260937207,1834.604471702886,1467.6835773623088,Q1,2500,35,3.37393558338328,1.180877454184148
FCEV,western europe,2031,4964.257577869574,6.731733260937207,1834.604471702886,1467.6835773623088,Q2,10000,35,0.893971895302849,0.3128901633559972
FCEV,western europe,2031,4964.257577869574,6.731733260937207,1834.604471702886,1467.6835773623088,Q3,20000,20,0.4806446139561105,0.09612892279122211
FCEV,western europe,2031,4964.257577869574,6.731733260937207,1834.604471702886,1467.6835773623088,Q4,40000,10,0.2739809732827413,0.02739809732827413
ICE-G,western europe,2032,4788.292043305061,9.112221221388976,1859.4,2169.3,Q1,2500,35,3.6179190295359143,1.2662716603375699
ICE-G,western europe,2032,4788.292043305061,9.112221221388976,1859.4,2169.3,Q2,10000,35,0.9728214165443958,0.34048749579053855
ICE-G,western europe,2032,4788.292043305061,9.112221221388976,1859.4,2169.3,Q3,20000,20,0.5319718143791428,0.10639436287582855
ICE-G,western europe,2032,4788.292043305061,9.112221221388976,1859.4,2169.3,Q4,40000,10,0.3115470132965163,0.031154701329651632
ICE-D,western europe,2032,4942.802919178087,8.161113170614067,1919.4,2239.3,Q1,2500,35,3.722212299377376,1.3027743047820817
ICE-D,western europe,2032,4942.802919178087,8.161113170614067,1919.4,2239.3,Q2,10000,35,0.9917614236239495,0.3471164982683823
ICE-D,western europe,2032,4942.802919178087,8.161113170614067,1919.4,2239.3,Q3,20000,20,0.5366862776650451,0.10733725553300902
ICE-D,western europe,2032,4942.802919178087,8.161113170614067,1919.4,2239.3,Q4,40000,10,0.30914870468559286,0.03091487046855929
CNG,western europe,2032,4712.9994526203645,5.6229684671931945,1435.85,1723.02,Q1,2500,35,3.2049774657200785,1.1217421130020275
CNG,western europe,2032,4712.9994526203645,5.6229684671931945,1435.85,1723.02,Q2,10000,35,0.8434166299339685,0.29519582047688897
CNG,western europe,2032,4712.9994526203645,5.6229684671931945,1435.85,1723.02,Q3,20000,20,0.44982315730295025,0.08996463146059006
CNG,western europe,2032,4712.9994526203645,5.6229684671931945,1435.85,1723.02,Q4,40000,10,0.2530264209874411,0.02530264209874411
HEV,western europe,2032,4616.912489752834,8.28383747398998,1643.4453917993546,1344.6371387449265,Q1,2500,35,3.1248363828587458,1.093692734000561
HEV,western europe,2032,4616.912489752834,8.28383747398998,1643.4453917993546,1344.6371387449265,Q2,10000,35,0.8433378767696114,0.295168256869364
HEV,western europe,2032,4616.912489752834,8.28383747398998,1643.4453917993546,1344.6371387449265,Q3,20000,20,0.46308812575475555,0.09261762515095111
HEV,western europe,2032,4616.912489752834,8.28383747398998,1643.4453917993546,1344.6371387449265,Q4,40000,10,0.2729632502473277,0.027296325024732768
PHEV,western europe,2032,5365.127684978772,4.877365998588335,1736.1650610885617,1215.3155427619934,Q1,2500,35,3.3754169755176147,1.1813959414311652
PHEV,western europe,2032,5365.127684978772,4.877365998588335,1736.1650610885617,1215.3155427619934,Q2,10000,35,0.8804344888688161,0.30815207110408566
PHEV,western europe,2032,5365.127684978772,4.877365998588335,1736.1650610885617,1215.3155427619934,Q3,20000,20,0.46460407442734974,0.09292081488546994
PHEV,western europe,2032,5365.127684978772,4.877365998588335,1736.1650610885617,1215.3155427619934,Q4,40000,10,0.25668886720661654,0.025668886720661654
